sample,GeneID,cor,pvalue,signif
MsG0680034229.01.T03,MSTRG.19843.1,0.938648251,0.00553059,**
MsG0680034229.01.T03,MSTRG.3404.4,0.982148118,0.000475,***
MsG0680034229.01.T03,MSTRG.7395.1,0.927294437,0.007736984,**
MsG0680034229.01.T03,MSTRG.6822.2,-0.929360161,0.007308734,**
MsG0680034229.01.T03,MSTRG.3718.1,-0.919940791,0.009357646,**
MsG0680034229.01.T03,MSTRG.24887.1,-0.93337689,0.0065101,**
MsG0680034229.01.T03,MSTRG.19365.1,-0.970461435,0.001295904,**
MsG0680034229.01.T03,MSTRG.4665.1,-0.97201572,0.001163722,**
MsG0680034229.01.T03,MSTRG.27160.1,0.917388181,0.009955168,**
MsG0680034229.01.T03,MSTRG.30865.1,-0.961017406,0.002249844,**
MsG0680034229.01.T03,MSTRG.5739.1,-0.968375749,0.001484326,**
MsG0680034229.01.T03,MSTRG.26582.1,0.918918885,0.009594701,**
MsG0680034229.01.T03,MSTRG.14824.1,0.989416743,0.000167,***
MsG0680034229.01.T03,MSTRG.21172.1,-0.978172118,0.000709,***
MsG0680034229.01.T03,MSTRG.7528.1,0.940415293,0.005219733,**
MsG0680034229.01.T03,MSTRG.6635.1,0.957458259,0.002676204,**
MsG0680034229.01.T03,MSTRG.15341.1,-0.930476624,0.007082229,**
MsG0680034229.01.T03,MSTRG.8097.1,0.945594839,0.004359365,**
MsG0680034229.01.T03,MSTRG.20229.2,-0.932649888,0.006651305,**
MsG0680034229.01.T03,MSTRG.24463.1,0.921932268,0.008903961,**
MsG0680034229.01.T03,MSTRG.5843.1,0.986563525,0.00027,***
MsG0680034229.01.T03,MSTRG.615.1,-0.952148678,0.00337984,**
MsG0680034229.01.T03,MSTRG.21570.2,-0.971940483,0.001169959,**
MsG0680034229.01.T03,MSTRG.6476.2,-0.979162675,0.000647,***
MsG0680034229.01.T03,MSTRG.19348.1,0.979633788,0.000618,***
MsG0680034229.01.T03,MSTRG.24250.4,-0.980758784,0.000552,***
MsG0680034229.01.T03,MSTRG.26892.1,-0.952447865,0.003338046,**
MsG0680034229.01.T03,MSTRG.21570.1,-0.976442874,0.000826,***
MsG0680034229.01.T03,MSTRG.8025.1,-0.961388138,0.002207531,**
MsG0680034229.01.T03,MSTRG.3212.1,-0.960944237,0.002258242,**
MsG0680034229.01.T03,MSTRG.3534.1,-0.94319412,0.004748708,**
MsG0680034229.01.T03,MSTRG.23355.1,-0.960601444,0.002297791,**
MsG0680034229.01.T03,MSTRG.12199.3,-0.971840704,0.001178254,**
MsG0680034229.01.T03,MSTRG.22371.1,-0.960653116,0.002291808,**
MsG0680034229.01.T03,MSTRG.26892.2,-0.938928097,0.005480774,**
MsG0680034229.01.T03,MSTRG.23787.1,-0.977487967,0.000754,***
MsG0680034229.01.T03,MSTRG.16401.1,-0.927980583,0.00759342,**
MsG0680034229.01.T03,MSTRG.20215.7,-0.957484162,0.002672969,**
MsG0680034229.01.T03,MSTRG.1074.1,-0.973466908,0.001046668,**
MsG0680034229.01.T03,MSTRG.21465.1,-0.933552533,0.006476207,**
MsG0680034229.01.T03,MSTRG.21249.1,-0.93701503,0.005825726,**
MsG0680034229.01.T03,MSTRG.17401.3,-0.930190852,0.007139875,**
MsG0680034229.01.T03,MSTRG.11760.1,-0.975528823,0.000891,***
MsG0680034229.01.T03,MSTRG.24887.2,-0.946307005,0.00424701,**
MsG0680034229.01.T03,MSTRG.29812.1,0.996788576,1.55E-05,***
MsG0680031294.01.T01,MSTRG.14824.2,0.95867763,0.002526028,**
MsG0680031294.01.T01,MSTRG.21396.1,0.990173217,0.000144,***
MsG0680031294.01.T01,MSTRG.969.1,0.920067008,0.009328568,**
MsG0680031294.01.T01,MSTRG.24463.1,0.978892002,0.000664,***
MsG0680031294.01.T01,MSTRG.28045.1,0.918698091,0.009646298,**
MsG0680031294.01.T01,MSTRG.16418.1,0.99463991,4.30E-05,***
MsG0680031294.01.T01,MSTRG.11810.1,0.957698355,0.002646296,**
MsG0680031294.01.T01,MSTRG.17283.1,0.942085599,0.004933992,**
MsG0680031294.01.T01,MSTRG.20744.1,0.919453437,0.00947034,**
