sample,GeneID,cor,pvalue,signif
miRN141-Novel-3p-mature,MSTRG.615.1,0.938746153,0.005513137,**
miRN141-Novel-3p-mature,MSTRG.21570.1,0.987819093,0.000221658,***
miRN141-Novel-3p-mature,MSTRG.1348.1,-0.93173987,0.006830141,**
miRN141-Novel-3p-mature,MSTRG.3404.4,-0.987175127,0.000245661,***
miRN141-Novel-3p-mature,MSTRG.18320.1,-0.823352343,0.0440505,*
miRN141-Novel-3p-mature,MSTRG.8097.1,-0.971462163,0.001209992,**
miRN141-Novel-3p-mature,MSTRG.3534.1,0.980835189,0.000547415,***
miRN141-Novel-3p-mature,MSTRG.5879.1,0.816183823,0.047577154,*
miRN141-Novel-3p-mature,MSTRG.14824.1,-0.955037266,0.002987022,**
miRN141-Novel-3p-mature,MSTRG.1147.2,0.850426035,0.031885395,*
miRN141-Novel-3p-mature,MSTRG.21172.1,0.984805264,0.000344566,***
miRN141-Novel-3p-mature,MSTRG.25897.2,0.885895894,0.018786817,*
miRN141-Novel-3p-mature,MSTRG.969.1,-0.888243439,0.0180364,*
miRN141-Novel-3p-mature,MSTRG.20276.1,-0.880042789,0.020721523,*
miRN141-Novel-3p-mature,MSTRG.21943.1,0.898838232,0.014832925,*
miRN141-Novel-3p-mature,MSTRG.25897.5,0.968922611,0.001433699,**
miRN141-Novel-3p-mature,MSTRG.21465.1,0.942824928,0.004810031,**
miRN141-Novel-3p-mature,MSTRG.7528.1,-0.918939899,0.009589797,**
miRN141-Novel-3p-mature,MSTRG.23270.1,0.911613158,0.011373102,*
miRN141-Novel-3p-mature,MSTRG.7659.1,0.94389704,0.00463302,**
miRN141-Novel-3p-mature,MSTRG.22371.1,0.976180497,0.000844296,***
miRN141-Novel-3p-mature,MSTRG.22489.1,0.869187821,0.024548521,*
miRN141-Novel-3p-mature,MSTRG.19843.1,-0.92305011,0.008654107,**
miRN141-Novel-3p-mature,MSTRG.19977.1,0.955296594,0.002952924,**
miRN141-Novel-3p-mature,MSTRG.4665.1,0.979882419,0.000603005,***
miRN141-Novel-3p-mature,MSTRG.20217.1,-0.856841139,0.029274707,*
miRN141-Novel-3p-mature,MSTRG.3404.1,0.816539133,0.047399382,*
miRN141-Novel-3p-mature,MSTRG.19365.1,0.989090622,0.000177873,***
miRN141-Novel-3p-mature,MSTRG.16460.1,0.948635118,0.003889767,**
miRN141-Novel-3p-mature,MSTRG.24463.1,-0.967678108,0.001550174,**
miRN141-Novel-3p-mature,MSTRG.9071.1,0.873778814,0.022892217,*
miRN141-Novel-3p-mature,MSTRG.28965.1,-0.932381368,0.006703833,**
miRN141-Novel-3p-mature,MSTRG.17866.2,0.872117985,0.023485036,*
miRN141-Novel-3p-mature,MSTRG.3718.1,0.919286085,0.009509189,**
miRN141-Novel-3p-mature,MSTRG.7979.4,0.8786631,0.021190765,*
miRN141-Novel-3p-mature,MSTRG.21396.1,-0.855800475,0.029691048,*
miRN141-Novel-3p-mature,MSTRG.17866.1,-0.817606227,0.046867341,*
miRN141-Novel-3p-mature,MSTRG.28045.1,-0.821427808,0.044984884,*
miRN141-Novel-3p-mature,MSTRG.20585.1,0.9907626,0.0001276,***
miRN141-Novel-3p-mature,MSTRG.5606.1,0.812410939,0.049483887,*
miRN141-Novel-3p-mature,MSTRG.30865.1,0.964488535,0.001869205,**
miRN141-Novel-3p-mature,MSTRG.11760.1,0.981810036,0.000493303,***
miRN141-Novel-3p-mature,MSTRG.23355.1,0.974507554,0.000966514,***
miRN141-Novel-3p-mature,MSTRG.24250.3,0.951967091,0.003405331,**
miRN141-Novel-3p-mature,MSTRG.23787.1,0.979683204,0.000614965,***
miRN141-Novel-3p-mature,MSTRG.3404.5,-0.933936224,0.006402469,**
miRN141-Novel-3p-mature,MSTRG.17401.3,0.896965576,0.015377227,*
miRN141-Novel-3p-mature,MSTRG.10068.2,0.946865959,0.004159835,**
miRN141-Novel-3p-mature,MSTRG.30908.1,-0.90748073,0.012443749,*
miRN141-Novel-3p-mature,MSTRG.3212.1,0.911579943,0.011381521,*
miRN141-Novel-3p-mature,MSTRG.30244.1,0.921216015,0.009065872,**
miRN141-Novel-3p-mature,MSTRG.3549.2,0.958707342,0.002522422,**
miRN141-Novel-3p-mature,MSTRG.20215.5,-0.901901439,0.013962974,*
