Geneid,targetID,
miR10407a-Probable-3p-star,MsG0180000542.01.T01,cds
miR10407a-Probable-3p-star,MsG0580025455.01.T01,cds
miR10407a-Probable-3p-star,MsG0680031860.01.T01,cds
miR10407a-Probable-3p-star,MsG0680031860.01.T02,cds
miR10407a-Probable-3p-star,MsG0680035087.01.T01,cds
miR10407a-Probable-5p-mature,MsG0580025684.01.T01,cds
miR10407a-Probable-5p-mature,MsG0880044984.01.T01,cds
miR10407b-Probable-3p-mature,MsG0580025684.01.T01,cds
miR10407b-Probable-3p-mature,MsG0880044984.01.T01,cds
miR10407b-Probable-5p-star,MsG0180000018.01.T01,cds
miR10407b-Probable-5p-star,MsG0280006538.01.T01,cds
miR10407b-Probable-5p-star,MsG0280006680.01.T01,cds
miR10407b-Probable-5p-star,MsG0480022942.01.T01,cds
miR10407b-Probable-5p-star,MsG0480023403.01.T01,cds
miR10407b-Probable-5p-star,MsG0880045276.01.T01,cds
miR10407c-Probable-3p-mature,MsG0580025684.01.T01,cds
miR10407c-Probable-3p-mature,MsG0880044984.01.T01,cds
miR10407c-Probable-5p-star,MsG0180000018.01.T01,cds
miR10407c-Probable-5p-star,MsG0280006538.01.T01,cds
miR10407c-Probable-5p-star,MsG0280006680.01.T01,cds
miR10407c-Probable-5p-star,MsG0480022942.01.T01,cds
miR10407c-Probable-5p-star,MsG0480023403.01.T01,cds
miR10407c-Probable-5p-star,MsG0880045276.01.T01,cds
miR11078-Probable-3p-mature,MsG0180005640.01.T01,cds
miR11078-Probable-3p-mature,MsG0380014615.01.T01,cds
miR11078-Probable-3p-mature,MsG0380017548.01.T01,cds
miR11078-Probable-3p-mature,MsG0480018165.01.T01,cds
miR11078-Probable-3p-mature,MsG0580025400.01.T01,cds
miR11078-Probable-3p-mature,MsG0580026022.01.T01,cds
miR11078-Probable-3p-mature,MsG0580026022.01.T02,cds
miR11078-Probable-3p-mature,MsG0580026022.01.T03,cds
miR11078-Probable-3p-mature,MsG0680034726.01.T01,cds
miR11078-Probable-3p-mature,MsG0780041750.01.T01,cds
miR11078-Probable-3p-mature,MsG0880046417.01.T01,cds
miR11078-Probable-3p-mature,MsG0880046953.01.T01,cds
miR11078-Probable-3p-mature,MsG0880047113.01.T01,cds
miR11078-Probable-5p-star,MsG0180002305.01.T01,cds
miR11078-Probable-5p-star,MsG0180003419.01.T01,cds
miR11078-Probable-5p-star,MsG0180005736.01.T01,cds
miR11078-Probable-5p-star,MsG0180005739.01.T01,cds
miR11078-Probable-5p-star,MsG0280007702.01.T01,cds
miR11078-Probable-5p-star,MsG0380016744.01.T01,cds
miR11078-Probable-5p-star,MsG0380016760.01.T01,cds
miR11078-Probable-5p-star,MsG0380017589.01.T01,cds
miR11078-Probable-5p-star,MsG0480018197.01.T01,cds
miR11078-Probable-5p-star,MsG0480019345.01.T01,cds
miR11078-Probable-5p-star,MsG0480023916.01.T01,cds
miR11078-Probable-5p-star,MsG0480023916.01.T02,cds
miR11078-Probable-5p-star,MsG0580024338.01.T01,cds
miR11078-Probable-5p-star,MsG0580027754.01.T01,cds
miR11078-Probable-5p-star,MsG0580028593.01.T01,cds
miR11078-Probable-5p-star,MsG0580029222.01.T01,cds
miR11078-Probable-5p-star,MsG0580029226.01.T01,cds
miR11078-Probable-5p-star,MsG0580029721.01.T01,cds
miR11078-Probable-5p-star,MsG0580029721.01.T02,cds
miR11078-Probable-5p-star,MsG0680030663.01.T01,cds
miR11078-Probable-5p-star,MsG0780039799.01.T01,cds
miR11078-Probable-5p-star,MsG0880047068.01.T01,cds
miR11078-Probable-5p-star,MsG0880047069.01.T01,cds
miR11078-Probable-5p-star,MsG0880047177.01.T01,cds
miR11078-Probable-5p-star,MsG0880047298.01.T01,cds
miR11097-Probable-3p-mature,MsG0280011280.01.T01,cds
miR11097-Probable-3p-mature,MsG0380012351.01.T01,cds
miR11097-Probable-3p-mature,MsG0380017966.01.T01,cds
miR11097-Probable-3p-mature,MsG0480018621.01.T01,cds
miR11097-Probable-3p-mature,MsG0480018621.01.T02,cds
miR11097-Probable-3p-mature,MsG0480018621.01.T03,cds
miR11097-Probable-3p-mature,MsG0480018625.01.T01,cds
miR11097-Probable-3p-mature,MsG0480019988.01.T01,cds
miR11097-Probable-3p-mature,MsG0480020659.01.T01,cds
miR11097-Probable-3p-mature,MsG0580024043.01.T01,cds
miR11097-Probable-3p-mature,MsG0580026486.01.T01,cds
miR11097-Probable-3p-mature,MsG0580026486.01.T02,cds
miR11097-Probable-3p-mature,MsG0580026486.01.T03,cds
miR11097-Probable-3p-mature,MsG0580026719.01.T01,cds
miR11097-Probable-3p-mature,MsG0780036538.01.T01,cds
miR11097-Probable-5p-star,MsG0180003417.01.T01,cds
miR11097-Probable-5p-star,MsG0180004328.01.T01,cds
miR11097-Probable-5p-star,MsG0180005631.01.T01,cds
miR11097-Probable-5p-star,MsG0380015320.01.T01,cds
miR11097-Probable-5p-star,MsG0380016661.01.T01,cds
miR11097-Probable-5p-star,MsG0480019096.01.T01,cds
miR11097-Probable-5p-star,MsG0580026587.01.T01,cds
miR11097-Probable-5p-star,MsG0580027646.01.T01,cds
miR11097-Probable-5p-star,MsG0580028297.01.T01,cds
miR11097-Probable-5p-star,MsG0580030069.01.T01,cds
miR11097-Probable-5p-star,MsG0580030245.01.T01,cds
miR11097-Probable-5p-star,MsG0680032745.01.T01,cds
miR11097-Probable-5p-star,MsG0680035497.01.T02,cds
miR11097-Probable-5p-star,MsG0680035497.01.T03,cds
miR11097-Probable-5p-star,MsG0780037832.01.T01,cds
miR11097-Probable-5p-star,MsG0880045553.01.T01,cds
miR11097-Probable-5p-star,MsG0880047251.01.T01,cds
miR11108-Probable-3p-mature,MsG0080048756.01.T01,cds
miR11108-Probable-3p-mature,MsG0180000309.01.T01,cds
miR11108-Probable-3p-mature,MsG0180000352.01.T01,cds
miR11108-Probable-3p-mature,MsG0180000352.01.T02,cds
